20.6968,37.9877,1458,36.1216;
16.478,37.7556,1081,35.0941;
7.43077,35.9083,671,31.8542;
37.7947,38.8554,2337,35.8845;
20.9322,37.4136,1363,33.9248;
47.3653,37.808,2609,36.5009;
22.477,37.5589,1507,34.9207;
29.5614,40.1535,2071,37.6005;
30.5109,37.917,2093,35.8637;
7.72342,38.1684,731,34.7115;
7.50149,41.2416,618,38.1192;
16.6078,38.9964,1294,34.0648;
46.3476,39.7411,2585,37.0521;
10.2144,37.7467,871,35.0198;
40.6872,40.1685,2283,36.9496;
28.4221,36.936,1902,34.2751;
0.597808,36.6736,129,33.4729;
34.9935,37.2343,1988,34.1059;
16.083,39.5888,1269,36.4796;
43.76,37.7783,2387,34.7822;
47.1702,35.2258,2442,33.037;
25.6382,38.1932,1678,35.7673;
39.9561,37.5874,2044,35.7459;
44.1116,37.9739,2576,35.4177;
0.922612,35.9724,196,32.6541;
4.88227,36.459,497,33.3614;
19.7337,38.8539,1466,35.9681;
7.24305,37.996,711,34.6295;
29.1773,40.0097,1848,36.2908;
34.7549,37.6523,2175,35.049;
20.7866,37.498,1407,34.5282;
0.614598,38.5045,127,35.4097;
9.19745,39.2997,886,36.8123;
4.07183,35.6364,444,31.8245;
11.2407,37.1257,954,34.2196;
6.78182,37.1212,604,33.8564;
29.4894,39.5231,1789,37.3083;
11.1087,36.6083,952,33.5341;
40.6994,40.5227,2261,36.651;
42.5554,38.7398,2444,36.3397;
36.3113,36.9513,2201,34.8526;
25.8471,39.2294,1587,36.3667;
